participant_id,first_name,last_name,birth_date,address,phone_number,country,institute,occupation,register_time,birth_year,postal_code,city,github_profile,cleaned_phone_number,team_name,email,register_at
bd9b6f88-b84f-4c4d-90f8-b67fe2f1a29a,Citra,Nurdiyanti,1991-02-05,"Gg. Monginsidi No. 08
Medan, Aceh 80734",(0151) 081 2706,Georgia,UD Prakasa Mandasari,Business Intelligence Engineer,1617634046.0,1991,80734,Medan,https://github.com/citranurdiyanti,(0151) 081 2706,CN-Georgia-UPM,citranurdiyanti@upm.com,2021-04-05 14:47:26
7dfe3391-6f40-47b6-b4db-0c76ebaf5fc3,Aris,Setiawan,1993-01-11,"Gg. Rajawali Timur No. 7
Prabumulih, MA 09434",+62 (036) 461 7027,Korea Utara,Universitas Diponegoro,Frontend Engineer,1617634018.0,1993,09434,Prabumulih,https://github.com/arissetiawan,+62 (036) 461 7027,AS-Korea Utara-UD,arissetiawan@ud.ac.ku,2021-04-05 14:46:58
19582d7f-b824-4fe5-a517-d5bf573fc768,Cornelia,Handayani,1993-07-31,"Jalan Kebonjati No. 0
Ambon, SS 57739",089 833 6695,Komoro,UD Hardiansyah Puspasari,Business Analyst,1617634035.0,1993,57739,Ambon,https://github.com/corneliahandayani,089 833 6695,CH-Komoro-UHP,corneliahandayani@uhp.com,2021-04-05 14:47:15
aeb6d817-25f3-4867-8a74-8d92e0a0f633,Soleh,Rajasa,1991-11-04,"Jl. Yos Sudarso No. 109
Lubuklinggau, SR 76156",+62 (418) 329-4756,Eritrea,Perum Tampubolon Yuliarti,DevOps Engineer,1617634034.0,1991,76156,Lubuklinggau,https://github.com/solehrajasa,+62 (418) 329-4756,SR-Eritrea-PTY,solehrajasa@pty.com,2021-04-05 14:47:14
1fdabdd9-5444-4c97-87b2-fe8833ad0d27,Vivi,Astuti,2003-01-22,"Jalan Gardujati No. 53
Kediri, Sulawesi Tengah 70074",0812511835,Aljazair,PT Hardiansyah Rahimah,Data Analyst,1617634010.0,2003,70074,Kediri,https://github.com/viviastuti,0812511835,VA-Aljazair-PHR,viviastuti@phr.com,2021-04-05 14:46:50
f1e8749d-6dec-4ede-be25-efb31ce80f99,Bahuraksa,Mangunsong,1997-11-13,"Jl. Pacuan Kuda No. 58
Denpasar, Aceh 00880",+62 (11) 369-7082,Zambia,CV Mardhiyah Haryanto,Business Analyst,1617633964.0,1997,00880,Denpasar,https://github.com/bahuraksamangunsong,+62 (11) 369-7082,BM-Zambia-CMH,bahuraksamangunsong@cmh.com,2021-04-05 14:46:04
707219fa-cb0b-467c-ad32-e99c61603020,Tiara,Maryati,1994-03-10,"Gg. Cihampelas No. 4
Samarinda, KT 48108",(0244) 430 7220,Libya,UD Irawan Wahyuni,Product Analyst,1617633982.0,1994,48108,Samarinda,https://github.com/tiaramaryati,(0244) 430 7220,TM-Libya-UIW,tiaramaryati@uiw.com,2021-04-05 14:46:22
bc4e9cc3-f49b-40a2-905c-3e9dcf3af958,Dimaz,Gunarto,2000-02-16,"Gg. Sukabumi No. 7
Parepare, Bali 64255",+62 (056) 931-9059,Republik Demokratik Kongo,Perum Purnawati,Data Scientist,1617633930.0,2000,64255,Parepare,https://github.com/dimazgunarto,+62 (056) 931-9059,DG-Republik Demokratik Kongo-PP,dimazgunarto@pp.com,2021-04-05 14:45:30
7ca0a2e8-bab0-42a3-b6aa-ef4df35c7800,Zizi,Puspasari,2002-04-11,"Gg. Peta No. 01
Medan, BE 89056",+62 (11) 826-1289,Gambia,Universitas Bhayangkara Surabaya,Data Analyst,1617633950.0,2002,89056,Medan,https://github.com/zizipuspasari,+62 (11) 826-1289,ZP-Gambia-UBS,zizipuspasari@ubs.ac.gam,2021-04-05 14:45:50
7db879a6-eae5-4cf3-87da-c452df8e99c1,Cecep,Haryanto,1994-01-15,"Jalan Cempaka No. 8
Bitung, Kalimantan Barat 51825",+62 (86) 156 1327,Palau,PD Pudjiastuti Palastri Tbk,Fullstack Engineer,1617634014.0,1994,51825,Bitung,https://github.com/cecepharyanto,+62 (86) 156 1327,CH-Palau-PPPT,cecepharyanto@pppt.com,2021-04-05 14:46:54
ae29b7cb-837c-4f78-957a-f8f7dcd3d6f0,Vanya,Yuliarti,1998-04-09,"Gang Laswi No. 34
Kediri, Sulawesi Barat 18717",+62 (004) 561 6831,Finlandia,Universitas Janabadra,Flutter Engineer,1617634014.0,1998,18717,Kediri,https://github.com/vanyayuliarti,+62 (004) 561 6831,VY-Finlandia-UJ,vanyayuliarti@uj.ac.fin,2021-04-05 14:46:54
f6abbf84-2979-4f07-ac18-f4028bf009ac,Yahya,Damanik,1993-06-30,"Gang HOS. Cokroaminoto No. 74
Bau-Bau, MA 40721",+62-304-075-1010,Mali,PD Andriani Gunarto (Persero) Tbk,Data Scientist,1617633953.0,1993,40721,Bau-Bau,https://github.com/yahyadamanik,+62-304-075-1010,YD-Mali-PAG(T,yahyadamanik@pag(t.com,2021-04-05 14:45:53
ff1228c9-cbb8-4c85-abd3-2200ee871599,Natalia,Hartati,1992-10-03,"Jl. Sukajadi No. 387
Gorontalo, Aceh 40645",+62-766-738-4901,Ghana,Universitas Katolik Widya Manadala,Data Scientist,1617633952.0,1992,40645,Gorontalo,https://github.com/nataliahartati,+62-766-738-4901,NH-Ghana-UKWM,nataliahartati@ukwm.ac.gha,2021-04-05 14:45:52
511d94e6-ee70-4afe-8516-4df0d7f74698,Karja,Sihombing,1998-02-14,"Jl. Rajawali Timur No. 0
Batam, Kalimantan Timur 12174",+62-57-926-3059,Uzbekistan,Universitas Muhammadiyah Sumatra Utara,DevOps Engineer,1617633997.0,1998,12174,Batam,https://github.com/karjasihombing,+62-57-926-3059,KS-Uzbekistan-UMSU,karjasihombing@umsu.ac.uzb,2021-04-05 14:46:37
5bb00c77-c91d-47bc-9dbc-996efcd5b76e,Maria,Utami,2002-10-30,"Gg. Astana Anyar No. 06
Pagaralam, KT 46071",+62 (447) 608 1087,Botswana,Universitas Negeri Semarang,Business Intelligence Engineer,1617633992.0,2002,46071,Pagaralam,https://github.com/mariautami,+62 (447) 608 1087,MU-Botswana-UNS,mariautami@uns.ac.bot,2021-04-05 14:46:32
b11b5a7b-654f-4a6a-84be-6c9bfc116c94,Kalim,Simbolon,1995-05-19,"Jalan Cikapayang No. 703
Tidore Kepulauan, Maluku 29328",(093) 063-0588,Gambia,PD Nugroho Latupono Tbk,Product Analyst,1617634000.0,1995,29328,Tidore Kepulauan,https://github.com/kalimsimbolon,(093) 063-0588,KS-Gambia-PNLT,kalimsimbolon@pnlt.com,2021-04-05 14:46:40
8f5cc17e-71b5-47a4-b70e-fae7d7a0c46f,Kezia,Wahyuni,1992-11-20,"Jl. S. Parman No. 8
Kota Administrasi Jakarta Barat, MU 15807",+62 (857) 263-5384,Iran,UD Haryanti Tbk,Business Intelligence Engineer,1617634037.0,1992,15807,Kota Administrasi Jakarta Barat,https://github.com/keziawahyuni,+62 (857) 263-5384,KW-Iran-UHT,keziawahyuni@uht.com,2021-04-05 14:47:17
407116ef-fb38-432f-b62e-d955d9ca1712,Saiful,Dongoran,1992-09-01,"Jl. Cempaka No. 83
Tarakan, KU 31450",+62 (631) 363 8240,Sudan Selatan,Universitas Bung Hatta,Data Engineer,1617633950.0,1992,31450,Tarakan,https://github.com/saifuldongoran,+62 (631) 363 8240,SD-Sudan Selatan-UBH,saifuldongoran@ubh.ac.ss,2021-04-05 14:45:50
17dd1666-818e-4681-bedd-b9f016096c74,Ani,Utami,1997-01-06,"Gg. Rumah Sakit No. 49
Depok, AC 30846",+62-783-529-5810,Indonesia,Universitas Muhammadiyah Makassar,Data Scientist,1617633981.0,1997,30846,Depok,https://github.com/aniutami,+62-783-529-5810,AU-Indonesia-UMM,aniutami@umm.ac.ind,2021-04-05 14:46:21
88bede2b-2d5a-45c6-8ade-c1a3289f2728,Heru,Anggriawan,1992-04-14,"Jl. Tebet Barat Dalam No. 003
Palangkaraya, Bengkulu 80904",083 504 5393,Georgia,Universitas Advent Indonesia,Product Manager,1617633947.0,1992,80904,Palangkaraya,https://github.com/heruanggriawan,083 504 5393,HA-Georgia-UAI,heruanggriawan@uai.ac.geo,2021-04-05 14:45:47
3810d4c7-9c7f-4f46-95e6-dd81ff5f9356,Qori,Lestari,1998-10-08,"Gg. Ir. H. Djuanda No. 36
Solok, Sulawesi Selatan 34188",+62-0748-723-1906,Venezuela,UD Namaga Rahimah (Persero) Tbk,Frontend Engineer,1617633974.0,1998,34188,Solok,https://github.com/qorilestari,+62-0748-723-1906,QL-Venezuela-UNR(T,qorilestari@unr(t.com,2021-04-05 14:46:14
